Data,Tipo,Descricao,Uf
2017-06-12,Comemorativa,Dia dos Namorados,MG
2017-06-24,Comemorativa,Dia de São João,MG
2017-06-29,Comemorativa,Dia de São Pedro,MG
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,MG
2017-08-13,Comemorativa,Dia dos Pais,MG
2017-10-15,Comemorativa,Dia do Professor,MG
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,MG
2017-01-01,Nacional,Confraternização Universal,PA
2017-02-28,Nacional,Carnaval,PA
2017-04-14,Nacional,Sexta-feira Santa,PA
2017-04-21,Nacional,Tiradentes,PA
2017-05-01,Nacional,Dia do Trabalhador,PA
2017-06-15,Nacional,Corpus Christi,PA
2017-09-07,Nacional,Independência do Brasil,PA
2017-10-12,Nacional,Padroeira do Brasil,PA
2017-11-02,Nacional,Finados,PA
2017-11-15,Nacional,Proclamação da República,PA
2017-12-25,Nacional,Natal,PA
2017-08-15,Estadual,Adesão do Grão-Pará à indepen,PA
2017-01-06,Comemorativa,Dia de Reis,PA
2017-03-08,Comemorativa,Dia da Mulher,PA
2017-04-16,Comemorativa,Páscoa,PA
2017-04-19,Comemorativa,Dia do Índio,PA
2017-04-22,Comemorativa,Descobrimento do Brasil,PA
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,PA
2017-05-14,Comemorativa,Dia das Mães,PA
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,PA
2017-06-12,Comemorativa,Dia dos Namorados,PA
2017-06-24,Comemorativa,Dia de São João,PA
2017-06-29,Comemorativa,Dia de São Pedro,PA
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,PA
2017-08-13,Comemorativa,Dia dos Pais,PA
2017-10-15,Comemorativa,Dia do Professor,PA
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,PA
2017-01-01,Nacional,Confraternização Universal,PB
2017-02-28,Nacional,Carnaval,PB
2017-04-14,Nacional,Sexta-feira Santa,PB
2017-04-21,Nacional,Tiradentes,PB
2017-05-01,Nacional,Dia do Trabalhador,PB
2017-06-15,Nacional,Corpus Christi,PB
2017-09-07,Nacional,Independência do Brasil,PB
2017-10-12,Nacional,Padroeira do Brasil,PB
2017-11-02,Nacional,Finados,PB
2017-11-15,Nacional,Proclamação da República,PB
2017-12-25,Nacional,Natal,PB
2017-08-05,Estadual,Fundação do Estado da Paraíba,PB
2017-01-06,Comemorativa,Dia de Reis,PB
2017-03-08,Comemorativa,Dia da Mulher,PB
2017-04-16,Comemorativa,Páscoa,PB
2017-04-19,Comemorativa,Dia do Índio,PB
2017-04-22,Comemorativa,Descobrimento do Brasil,PB
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,PB
2017-05-14,Comemorativa,Dia das Mães,PB
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,PB
2017-06-12,Comemorativa,Dia dos Namorados,PB
2017-06-24,Comemorativa,Dia de São João,PB
2017-06-29,Comemorativa,Dia de São Pedro,PB
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,PB
2017-08-13,Comemorativa,Dia dos Pais,PB
2017-10-15,Comemorativa,Dia do Professor,PB
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,PB
2017-01-01,Nacional,Confraternização Universal,PR
2017-02-28,Nacional,Carnaval,PR
2017-04-14,Nacional,Sexta-feira Santa,PR
2017-04-21,Nacional,Tiradentes,PR
2017-05-01,Nacional,Dia do Trabalhador,PR
2017-06-15,Nacional,Corpus Christi,PR
2017-09-07,Nacional,Independência do Brasil,PR
2017-10-12,Nacional,Padroeira do Brasil,PR
2017-11-02,Nacional,Finados,PR
2017-11-15,Nacional,Proclamação da República,PR
2017-12-25,Nacional,Natal,PR
2017-01-06,Comemorativa,Dia de Reis,PR
2017-03-08,Comemorativa,Dia da Mulher,PR
2017-04-16,Comemorativa,Páscoa,PR
2017-04-19,Comemorativa,Dia do Índio,PR
2017-04-22,Comemorativa,Descobrimento do Brasil,PR
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,PR
2017-05-14,Comemorativa,Dia das Mães,PR
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,PR
2017-06-12,Comemorativa,Dia dos Namorados,PR
2017-06-24,Comemorativa,Dia de São João,PR
2017-06-29,Comemorativa,Dia de São Pedro,PR
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,PR
2017-08-13,Comemorativa,Dia dos Pais,PR
2017-10-15,Comemorativa,Dia do Professor,PR
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,PR
2017-01-01,Nacional,Confraternização Universal,PE
2017-02-28,Nacional,Carnaval,PE
2017-04-14,Nacional,Sexta-feira Santa,PE
2017-04-21,Nacional,Tiradentes,PE
2017-05-01,Nacional,Dia do Trabalhador,PE
2017-06-15,Nacional,Corpus Christi,PE
2017-09-07,Nacional,Independência do Brasil,PE
2017-10-12,Nacional,Padroeira do Brasil,PE
2017-11-02,Nacional,Finados,PE
2017-11-15,Nacional,Proclamação da República,PE
2017-12-25,Nacional,Natal,PE
2017-06-24,Estadual,São João,PE
2017-01-06,Comemorativa,Dia de Reis,PE
2017-03-08,Comemorativa,Dia da Mulher,PE
2017-04-16,Comemorativa,Páscoa,PE
2017-04-19,Comemorativa,Dia do Índio,PE
2017-04-22,Comemorativa,Descobrimento do Brasil,PE
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,PE
2017-05-14,Comemorativa,Dia das Mães,PE
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,PE
2017-06-12,Comemorativa,Dia dos Namorados,PE
2017-06-29,Comemorativa,Dia de São Pedro,PE
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,PE
2017-08-13,Comemorativa,Dia dos Pais,PE
2017-10-15,Comemorativa,Dia do Professor,PE
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,PE
2017-01-01,Nacional,Confraternização Universal,PI
2017-02-28,Nacional,Carnaval,PI
2017-04-14,Nacional,Sexta-feira Santa,PI
2017-04-21,Nacional,Tiradentes,PI
2017-05-01,Nacional,Dia do Trabalhador,PI
2017-06-15,Nacional,Corpus Christi,PI
2017-09-07,Nacional,Independência do Brasil,PI
2017-10-12,Nacional,Padroeira do Brasil,PI
2017-11-02,Nacional,Finados,PI
2017-11-15,Nacional,Proclamação da República,PI
2017-12-25,Nacional,Natal,PI
2017-03-13,Estadual,Dia da Batalha do Jenipapo,PI
2017-10-19,Estadual,Dia do Piauí,PI
2017-01-06,Comemorativa,Dia de Reis,PI
2017-03-08,Comemorativa,Dia da Mulher,PI
2017-04-16,Comemorativa,Páscoa,PI
2017-04-19,Comemorativa,Dia do Índio,PI
2017-04-22,Comemorativa,Descobrimento do Brasil,PI
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,PI
2017-05-14,Comemorativa,Dia das Mães,PI
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,PI
2017-06-12,Comemorativa,Dia dos Namorados,PI
2017-06-24,Comemorativa,Dia de São João,PI
2017-06-29,Comemorativa,Dia de São Pedro,PI
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,PI
2017-08-13,Comemorativa,Dia dos Pais,PI
2017-10-15,Comemorativa,Dia do Professor,PI
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,PI
2017-01-01,Nacional,Confraternização Universal,RJ
2017-02-28,Nacional,Carnaval,RJ
2017-04-14,Nacional,Sexta-feira Santa,RJ
